Fanout,Network size,Average number of messages for a join
2,1000,27.7468468468469
2,2000,31.2771385692846
2,3000,33.3307102367456
2,4000,34.8436359089772
2,5000,35.8708141628326
2,6000,36.9026837806301
2,7000,37.7983426203743
2,8000,38.4211276409551
2,9000,38.8859984442716
2,10000,39.4610061006101
4,1000,36.9907907907908
4,2000,41.1377688844422
4,3000,44.6091697232411
4,4000,46.7264816204051
4,5000,48.1869573914783
4,6000,48.6916652775463
4,7000,49.8858265466495
4,8000,50.9894361795224
4,9000,51.9953772641405
4,10000,52.9229722972297
6,1000,43.4943943943944
6,2000,48.0119059529765
6,3000,52.5690230076692
6,4000,55.6584146036509
6,5000,57.7327065413083
6,6000,59.2668944824137
6,7000,60.4714816402343
6,8000,61.488098512314
6,9000,62.1946882986999
6,10000,62.2650865086509
8,1000,47.4994994994995
8,2000,56.5387693846923
8,3000,60.3446148716239
8,4000,62.785296324081
8,5000,63.6045409081816
8,6000,65.5283713952325
8,7000,67.4387341048721
8,8000,69.3020752594074
8,9000,71.1235248360929
8,10000,72.7033203320332
10,1000,52.6149149149149
10,2000,60.4804902451226
10,3000,67.3730243414471
10,4000,71.1605651412853
10,5000,73.6528305661132
10,6000,75.5004334055676
10,7000,76.9714673524789
10,8000,78.2107388423553
10,9000,79.2923102566952
10,10000,80.2556755675568
