Fanout,Network size,Average number of messages for a leave
2,1000,53.6451451451451
2,2000,61.9104552276138
2,3000,66.6503834611537
2,4000,70.0888972243061
2,5000,72.4362872574515
2,6000,74.978913152192
2,7000,77.0094299185598
2,8000,78.3552944118015
2,9000,79.4778308700967
2,10000,80.7492749274927
4,1000,73.005005005005
4,2000,83.1045522761381
4,3000,91.4264754918306
4,4000,96.7619404851213
4,5000,99.75625125025
4,6000,100.961993665611
4,7000,103.823260465781
4,8000,106.665333166646
4,9000,109.137959773308
4,10000,111.778927892789
6,1000,88.2572572572573
6,2000,98.6545772886443
6,3000,109.821940646882
6,4000,117.800575143786
6,5000,123.309361872374
6,6000,126.599349891649
6,7000,129.716816688098
6,8000,131.96962120265
6,9000,132.902544727192
6,10000,133.411191119112
8,1000,95.8888888888889
8,2000,119.361180590295
8,3000,128.967155718573
8,4000,133.886971742936
8,5000,135.437287457491
8,6000,140.383230538423
8,7000,145.122660380054
8,8000,149.997187148394
8,9000,154.413712634737
8,10000,158.585558555856
10,1000,107.146646646647
10,2000,126.661580790395
10,3000,143.659719906636
10,4000,153.864841210303
10,5000,160.667133426685
10,6000,165.907401233539
10,7000,169.442634662095
10,8000,172.330541317665
10,9000,174.278030892321
10,10000,175.939693969397
