Fanout,Number of nodes,Number of routing hops
2,1000,2.6155
2,2000,2.9317
2,3000,3.7662
2,4000,3.3167
2,5000,4.0608
2,6000,4.1714
2,7000,3.9179
2,8000,3.6432
2,9000,4.1674
2,10000,4.4593
4,1000,2.4016
4,2000,3.2304
4,3000,3.3153
4,4000,3.0419
4,5000,2.9439
4,6000,3.3667
4,7000,3.8188
4,8000,4.0684
4,9000,4.1002
4,10000,4.2374
6,1000,2.1378
6,2000,3.1117
6,3000,3.3514
6,4000,3.343
6,5000,3.1951
6,6000,3.052
6,7000,2.833
6,8000,2.806
6,9000,2.7565
6,10000,3.0948
8,1000,2.4499
8,2000,2.5622
8,3000,2.424
8,4000,2.2693
8,5000,2.514
8,6000,3.1196
8,7000,3.5497
8,8000,3.7348
8,9000,3.7116
8,10000,3.4633
10,1000,1.535
10,2000,2.5731
10,3000,2.6238
10,4000,2.6131
10,5000,2.5477
10,6000,2.5117
10,7000,2.4689
10,8000,2.439
10,9000,2.4062
10,10000,2.3767
